Day #,New Cases,Population %,Population,Rockland
1,2,6.13894E-06,"325,789",
2,0,0,"325,789",
3,2,6.13894E-06,"325,789",
4,0,0,"325,789",
5,2,6.13894E-06,"325,789",
6,1,3.06947E-06,"325,789",
7,2,6.13894E-06,"325,789",
8,1,3.06947E-06,"325,789",
9,2,6.13894E-06,"325,789",
10,4,1.22779E-05,"325,789",
11,6,1.84168E-05,"325,789",
12,9,2.76252E-05,"325,789",
13,22,6.75284E-05,"325,789",
14,48,0.000147335,"325,789",
15,161,0.000494185,"325,789",
16,193,0.000592408,"325,789",
17,137,0.000420518,"325,789",
18,79,0.000242488,"325,789",
19,297,0.000911633,"325,789",
20,229,0.000702909,"325,789",
21,260,0.000798063,"325,789",
22,439,0.001347498,"325,789",
23,313,0.000960745,"325,789",
24,302,0.00092698,"325,789",
25,352,0.001080454,"325,789",
26,458,0.001405818,"325,789",
27,430,0.001319873,"325,789",
28,538,0.001651376,"325,789",
29,583,0.001789502,"325,789",
30,454,0.00139354,"325,789",
31,377,0.001157191,"325,789",
32,287,0.000880938,"325,789",
33,423,0.001298386,"325,789",
34,252,0.000773507,"325,789",
35,457,0.001402748,"325,789",
36,355,0.001089662,"325,789",
37,244,0.000748951,"325,789",
